koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition,koi_prad_log,koi_depth_log,koi_teq_log,koi_insol_log,koi_model_snr_log
7.442652004,2.3078,24446.0,15.03,967.0,206.78,835.6,0,1,0,0,6108.0,4.469,0.956,15.27,FALSE POSITIVE,2.7744619666214616,10.104262787988329,6.875232087276577,5.3364798276423855,6.7293460590080985
16.38489988,3.0249,1127.1,2.0,433.0,8.35,28.9,0,0,0,0,4126.0,4.661,0.615,15.095,CONFIRMED,1.0986122886681096,7.028290080610875,6.073044534100405,2.2353763433005955,3.3978584803966405
7.8774163,2.0805,1306.1,2.16,553.0,22.18,38.7,0,0,0,0,4126.0,4.661,0.615,15.095,CONFIRMED,1.1505720275988207,7.175566221791506,6.317164686747284,3.1432898379116057,3.681351187693145
36.4454001,4.007,1122.3,1.99,332.0,2.88,21.7,0,0,0,0,4126.0,4.661,0.615,15.095,CONFIRMED,1.095273387402595,7.0240260606475236,5.808142489980444,1.355835153635182,3.122364924487357
3.728732147,2.683,5226.5,6.02,1023.0,258.34,345.2,0,0,0,0,5497.0,4.577,0.809,15.523,CONFIRMED,1.9487632180377197,8.56168843130279,6.931471805599453,5.5581399421207385,5.847016642742108
40.4195037,3.362,6256.0,7.51,467.0,11.29,36.9,0,0,0,0,5446.0,4.507,0.781,15.487,CANDIDATE,2.1412419425852827,8.741456115998364,6.148468295917647,2.5087859235779435,3.6349511120883804
2.243380573,1.1196,821.7,1.99,822.0,107.6,38.9,0,0,0,0,4149.0,4.698,0.564,15.135,CONFIRMED,1.095273387402595,6.712591614174885,6.71295620067707,4.687671407499835,3.686376323895818
10.405998015,6.5036,14489.0,11.23,833.0,113.94,745.2,0,1,0,0,5746.0,4.393,0.924,15.562,FALSE POSITIVE,2.503891949699081,9.581214035314728,6.726233402358747,4.744410253079596,6.614993660787057
2.337437946,1.9982,971.2,2.34,1070.0,311.16,82.4,0,0,0,0,5005.0,4.595,0.765,15.334,CONFIRMED,1.205970806988609,6.879561544611355,6.976348070447749,5.743515876874802,4.423648309364701
7.2406612,0.558,556.4,19.45,734.0,68.63,13.7,0,0,0,0,5005.0,4.595,0.765,15.334,CANDIDATE,3.017982882488811,6.323283115047848,6.5998704992128365,4.2431955089544555,2.6878474937846906
3.43591631,3.133,23.2,0.55,1272.0,617.61,8.7,0,0,0,0,5779.0,4.339,1.087,12.791,CANDIDATE,0.4382549309311553,3.186352633162641,7.149131598557407,6.427475025655387,2.272125885509337
