koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition,koi_prad_log,koi_depth_log,koi_teq_log
10.405998015,6.5036,3104.2375,11.23,833.0,113.94,159.3625,0,1,0,0,5746.0,4.393,0.924,15.562,FALSE POSITIVE,2.503891949699081,9.581214035314728,6.726233402358747
2.337437946,1.9982,971.2,2.34,1070.0,311.16,82.4,0,0,0,0,5005.0,4.595,0.765,15.334,CONFIRMED,1.205970806988609,6.879561544611355,6.976348070447749
7.2406612,0.558,556.4,19.45,734.0,68.63,13.7,0,0,0,0,5005.0,4.595,0.765,15.334,CANDIDATE,3.017982882488811,6.323283115047848,6.5998704992128365
3.43591631,3.133,23.2,0.55,1272.0,617.61,8.7,0,0,0,0,5779.0,4.339,1.087,12.791,CANDIDATE,0.4382549309311553,3.186352633162641,7.149131598557407
11.59822233,2.5237,2804.5,2.65,396.0,5.82,71.0,0,0,0,0,4184.0,4.79,0.473,15.937,CONFIRMED,1.2947271675944,7.939337055191027,5.983936280687191
6.575315881,4.3084,2793.3,5.31,1015.0,251.38,159.3625,0,0,0,0,5992.0,4.415,0.989,15.312,CONFIRMED,1.8421356765531218,7.9353369069948645,6.923628628138427
7.275040844,7.5377,3001.0,4.86,833.0,113.64,159.3625,0,0,0,0,5485.0,4.556,0.867,15.08,CONFIRMED,1.7681496035889213,8.007034012193408,6.726233402358747
19.27153892,2.7594,1219.8,1.93,393.0,5.66,37.1,0,0,0,0,4184.0,4.702,0.56,15.385,CONFIRMED,1.0750024230289759,7.107261660530193,5.976350909297934
10.06524317,1.369,1053.3,1.91,488.0,13.43,30.3,0,0,0,0,4184.0,4.702,0.56,15.385,CONFIRMED,1.068153081183401,6.9606323185829035,6.192362489474872
12.3935651,3.8896,916.6,2.66,677.0,49.68,35.8,0,0,0,0,5557.0,4.603,0.75,15.505,CONFIRMED,1.297463147413275,6.821761565815161,6.519147287940395
43.84439721,6.802,615.2,2.87,531.0,18.77,83.7,0,0,0,0,5854.0,4.406,1.012,12.882,CONFIRMED,1.3532545070416904,6.423571586162567,6.2766434893416445
3.341913228,3.813,725.3,21.55,1032.0,268.67,39.0,0,1,1,0,5295.0,4.551,0.811,15.629,FALSE POSITIVE,3.1157350659486873,6.587963152612122,6.940222469119639
1.626630225,2.1145,1620.6,30.636249999999997,1547.0,1355.88,103.6,0,0,1,0,5735.0,4.41,0.973,15.279,FALSE POSITIVE,3.509453700432007,7.39116859513779,7.344719054149673
2.711504086,3.0099,837.5,3.12,1420.0,960.79,64.5,0,0,0,0,6214.0,4.442,1.076,15.541,CONFIRMED,1.415853163361435,6.731614581263264,7.259116128097101
